NAMES	GROUPS
106342	MiSeq_18
106343	MiSeq_18
106236	MiSeq_18
106237	MiSeq_18
106238	MiSeq_18
106239	MiSeq_18
106240	MiSeq_18
106344	MiSeq_18
106345	MiSeq_18
106346	MiSeq_18
106347	MiSeq_18
106348	MiSeq_18
106349	MiSeq_18
106350	MiSeq_18
106351	MiSeq_18
106352	MiSeq_18
106353	MiSeq_18
106354	MiSeq_18
106355	MiSeq_18
106356	MiSeq_18
106357	MiSeq_18
106358	MiSeq_18
106359	MiSeq_18
106360	MiSeq_18
106361	MiSeq_18
106362	MiSeq_18
106363	MiSeq_18
106364	MiSeq_18
106365	MiSeq_18
106366	MiSeq_18
106367	MiSeq_18
106368	MiSeq_18
106369	MiSeq_18
106370	MiSeq_18
106371	MiSeq_18
106372	MiSeq_18
106373	MiSeq_18
106374	MiSeq_18
106375	MiSeq_18
106376	MiSeq_18
106377	MiSeq_18
106378	MiSeq_18
106379	MiSeq_18
109094	MiSeq_19
109095	MiSeq_19
109096	MiSeq_19
109097	MiSeq_19
109098	MiSeq_19
109099	MiSeq_19
109100	MiSeq_19
109101	MiSeq_19
109102	MiSeq_19
109103	MiSeq_19
109104	MiSeq_19
109105	MiSeq_19
109106	MiSeq_19
109107	MiSeq_19
109108	MiSeq_19
109109	MiSeq_19
109110	MiSeq_19
109111	MiSeq_19
109112	MiSeq_19
109113	MiSeq_19
109114	MiSeq_19
106232	MiSeq_18
106233	MiSeq_18
106241	MiSeq_18
106242	MiSeq_18
106243	MiSeq_18
106244	MiSeq_18
106245	MiSeq_18
106246	MiSeq_18
106247	MiSeq_18
106248	MiSeq_18
106249	MiSeq_18
106250	MiSeq_18
106251	MiSeq_18
106252	MiSeq_18
106253	MiSeq_18
106254	MiSeq_18
106255	MiSeq_18
106256	MiSeq_18
106257	MiSeq_18
106258	MiSeq_18
106259	MiSeq_18
106260	MiSeq_18
106261	MiSeq_18
106262	MiSeq_18
106263	MiSeq_18
106264	MiSeq_18
106265	MiSeq_18
106266	MiSeq_18
106267	MiSeq_18
106268	MiSeq_18
106269	MiSeq_18
106270	MiSeq_18
106271	MiSeq_18
106272	MiSeq_18
106273	MiSeq_18
106274	MiSeq_18
106275	MiSeq_18
106276	MiSeq_18
106277	MiSeq_18
106278	MiSeq_18
106279	MiSeq_18
106280	MiSeq_18
106281	MiSeq_18
106282	MiSeq_18
106283	MiSeq_18
109083	MiSeq_19
109084	MiSeq_19
109085	MiSeq_19
109086	MiSeq_19
109087	MiSeq_19
109088	MiSeq_19
109089	MiSeq_19
109090	MiSeq_19
109091	MiSeq_19
109092	MiSeq_19
109093	MiSeq_19
109118	MiSeq_19
109119	MiSeq_19
109120	MiSeq_19
109121	MiSeq_19
109122	MiSeq_19
109123	MiSeq_19
109115	MiSeq_19
109116	MiSeq_19
109117	MiSeq_19
109022	MiSeq_19
109023	MiSeq_19
109024	MiSeq_19
109025	MiSeq_19
109026	MiSeq_19
109027	MiSeq_19
109028	MiSeq_19
109029	MiSeq_19
109030	MiSeq_19
109031	MiSeq_19
109032	MiSeq_19
109033	MiSeq_19
109034	MiSeq_19
109035	MiSeq_19
109036	MiSeq_19
109037	MiSeq_19
109038	MiSeq_19
109039	MiSeq_19
109040	MiSeq_19
109041	MiSeq_19
109042	MiSeq_19
109043	MiSeq_19
109044	MiSeq_19
109045	MiSeq_19
109046	MiSeq_19
109047	MiSeq_19
109048	MiSeq_19
109049	MiSeq_19
109050	MiSeq_19
109051	MiSeq_19
109052	MiSeq_19
109053	MiSeq_19
109054	MiSeq_19
109055	MiSeq_19
109056	MiSeq_19
109057	MiSeq_19
109058	MiSeq_19
109059	MiSeq_19
109060	MiSeq_19
109061	MiSeq_19
109062	MiSeq_19
109063	MiSeq_19
109064	MiSeq_19
109065	MiSeq_19
109066	MiSeq_19
109067	MiSeq_19
109068	MiSeq_19
109069	MiSeq_19
109070	MiSeq_19
109071	MiSeq_19
109072	MiSeq_19
109073	MiSeq_19
109074	MiSeq_19
109075	MiSeq_19
109076	MiSeq_19
109077	MiSeq_19
109078	MiSeq_19
109079	MiSeq_19
109080	MiSeq_19
109081	MiSeq_19
109082	MiSeq_19
110433	MiSeq_21
110434	MiSeq_21
110435	MiSeq_21
110436	MiSeq_21
110437	MiSeq_21
110438	MiSeq_21
110439	MiSeq_21
110440	MiSeq_21
110441	MiSeq_21
110442	MiSeq_21
110443	MiSeq_21
110444	MiSeq_21
110445	MiSeq_21
110446	MiSeq_21
110447	MiSeq_21
110448	MiSeq_21
110449	MiSeq_21
110450	MiSeq_21
110451	MiSeq_21
110452	MiSeq_21
110453	MiSeq_21
110454	MiSeq_21
110455	MiSeq_21
110456	MiSeq_21
110457	MiSeq_21
110458	MiSeq_21
110459	MiSeq_21
110460	MiSeq_21
110461	MiSeq_21
110462	MiSeq_21
110463	MiSeq_21
110464	MiSeq_21
110465	MiSeq_21
110466	MiSeq_21
110467	MiSeq_21
110468	MiSeq_21
110469	MiSeq_21
110470	MiSeq_21
110471	MiSeq_21
110472	MiSeq_21
110473	MiSeq_21
110474	MiSeq_21
110475	MiSeq_21
110476	MiSeq_21
110477	MiSeq_21
110478	MiSeq_21
110479	MiSeq_21
110480	MiSeq_21
110481	MiSeq_21
110482	MiSeq_21
110483	MiSeq_21
110484	MiSeq_21
110485	MiSeq_21
110486	MiSeq_21
110487	MiSeq_21
110488	MiSeq_21
110489	MiSeq_21
110490	MiSeq_21
110491	MiSeq_21
110492	MiSeq_21
110493	MiSeq_21
110494	MiSeq_21
110495	MiSeq_21
110496	MiSeq_21
110497	MiSeq_21
110498	MiSeq_21
110499	MiSeq_21
110500	MiSeq_21
110501	MiSeq_21
110502	MiSeq_21
110503	MiSeq_21
110504	MiSeq_21
110505	MiSeq_21
110506	MiSeq_21
110507	MiSeq_21
110508	MiSeq_21
110509	MiSeq_21
110510	MiSeq_21
110511	MiSeq_21
110512	MiSeq_21
110513	MiSeq_21
110514	MiSeq_21
110515	MiSeq_21
110516	MiSeq_21
110517	MiSeq_21
110518	MiSeq_21
110519	MiSeq_21
110520	MiSeq_21
110521	MiSeq_21
110522	MiSeq_21
110523	MiSeq_21
110524	MiSeq_21
110525	MiSeq_21
110526	MiSeq_21
110527	MiSeq_21
110528	MiSeq_21
110529	MiSeq_21
110530	MiSeq_21
110531	MiSeq_21
110532	MiSeq_21
110533	MiSeq_21
110534	MiSeq_21
110535	MiSeq_21
110536	MiSeq_21
110537	MiSeq_21
110538	MiSeq_21
110539	MiSeq_21
110540	MiSeq_21
110541	MiSeq_21
110542	MiSeq_21
110543	MiSeq_21
110544	MiSeq_21
110545	MiSeq_21
110546	MiSeq_21
110547	MiSeq_21
110548	MiSeq_21
110549	MiSeq_21
110550	MiSeq_21
110551	MiSeq_21
110552	MiSeq_21
110553	MiSeq_21
110554	MiSeq_21
110555	MiSeq_21
110556	MiSeq_21
110557	MiSeq_21
110558	MiSeq_21
110559	MiSeq_21
110560	MiSeq_21
110561	MiSeq_21
110562	MiSeq_21
110563	MiSeq_21
110564	MiSeq_21
110565	MiSeq_21
110566	MiSeq_21
110567	MiSeq_21
110568	MiSeq_21
110569	MiSeq_21
110570	MiSeq_21
110571	MiSeq_21
110572	MiSeq_21
110573	MiSeq_21
110574	MiSeq_21
110575	MiSeq_21
110576	MiSeq_21
110577	MiSeq_21
110578	MiSeq_21
110579	MiSeq_21
110580	MiSeq_21
110581	MiSeq_21
110582	MiSeq_21
110583	MiSeq_21
110584	MiSeq_21
110585	MiSeq_21
110586	MiSeq_21
110587	MiSeq_21
110588	MiSeq_21
110589	MiSeq_21
110590	MiSeq_21
110591	MiSeq_21
110592	MiSeq_21
110593	MiSeq_21
110594	MiSeq_21
110595	MiSeq_21
