task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	82/1dcf34	2996110	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (SRR7039285)	COMPLETED	0	2024-06-19 12:32:52.172	12s	7ms	137.7%	0	0	99.6 KB	906 B
3	da/576c4f	2997492	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (SRR7039286)	COMPLETED	0	2024-06-19 12:32:52.981	19.8s	9ms	123.1%	0	0	99.6 KB	906 B
4	3b/dabeee	2998206	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (SRR7039287)	COMPLETED	0	2024-06-19 12:32:54.471	20.3s	7ms	130.8%	0	0	99.6 KB	906 B
5	54/f97031	2998231	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (SRR7039288)	COMPLETED	0	2024-06-19 12:32:54.478	21.9s	7ms	71.2%	0	0	99.6 KB	905 B
7	3d/a5d642	2999536	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (SRR7039290)	COMPLETED	0	2024-06-19 12:32:56.382	23.5s	8ms	168.6%	0	0	99.6 KB	906 B
6	57/0ce764	2999304	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (SRR7039289)	COMPLETED	0	2024-06-19 12:32:55.244	24.8s	12ms	137.4%	0	0	99.6 KB	906 B
8	2e/6c3dcd	3000018	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (SRR7039291)	COMPLETED	0	2024-06-19 12:32:57.317	22.8s	9ms	103.0%	0	0	99.6 KB	906 B
10	8d/bd7cb5	3001207	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (SRR7039293)	COMPLETED	0	2024-06-19 12:32:59.970	20.5s	10ms	174.3%	0	0	99.6 KB	906 B
9	26/865769	3000695	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (SRR7039292)	COMPLETED	0	2024-06-19 12:32:58.708	21.9s	25ms	92.0%	2.4 MB	3.9 MB	99.6 KB	905 B
11	c9/9875f2	3001710	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (SRR7039294)	COMPLETED	0	2024-06-19 12:33:01.158	19.8s	10ms	83.5%	0	0	99.6 KB	905 B
