task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3	af/e7a507	3949259	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267906)	COMPLETED	0	2024-06-11 22:08:29.604	1.9s	7ms	102.0%	0	0	103.6 KB	920 B
5	07/2d04f3	3949360	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267908)	COMPLETED	0	2024-06-11 22:08:29.645	2.1s	7ms	78.2%	0	0	103.6 KB	901 B
7	5d/6e4225	3949437	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267910)	COMPLETED	0	2024-06-11 22:08:29.710	2s	7ms	138.7%	0	0	103.6 KB	902 B
6	7f/462cc7	3949351	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267909)	COMPLETED	0	2024-06-11 22:08:29.641	2.3s	7ms	137.7%	0	0	103.6 KB	902 B
8	6b/c017a2	3949617	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267911)	COMPLETED	0	2024-06-11 22:08:29.763	2.4s	8ms	68.4%	0	0	103.6 KB	901 B
4	d5/811cbe	3949271	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267907)	COMPLETED	0	2024-06-11 22:08:29.611	2.7s	36ms	42.9%	3.2 MB	6.4 MB	103.6 KB	901 B
2	bf/0e1912	3949252	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267905)	COMPLETED	0	2024-06-11 22:08:29.595	2.8s	38ms	44.3%	3.2 MB	6.4 MB	103.6 KB	901 B
9	1a/d5d86a	3949835	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267912)	COMPLETED	0	2024-06-11 22:08:29.854	3.1s	10ms	138.7%	0	0	103.6 KB	902 B
10	d9/006fd7	3949937	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267913)	COMPLETED	0	2024-06-11 22:08:29.923	4.7s	12ms	137.4%	0	0	103.6 KB	902 B
11	70/b4af04	3950046	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267914)	COMPLETED	0	2024-06-11 22:08:30.006	5s	11ms	97.7%	0	0	103.6 KB	901 B
12	d6/73146d	3950206	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267915)	COMPLETED	0	2024-06-11 22:08:30.058	5.1s	11ms	96.3%	0	0	103.6 KB	901 B
14	c1/fbdbc4	3950420	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267917)	COMPLETED	0	2024-06-11 22:08:30.240	5.3s	7ms	139.6%	0	0	103.6 KB	902 B
13	9e/5df8fe	3950278	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267916)	COMPLETED	0	2024-06-11 22:08:30.136	5.6s	9ms	113.0%	2.4 MB	3.9 MB	103.6 KB	902 B
