task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	ca/47290e	3280466	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267905)	COMPLETED	0	2024-06-11 15:42:27.052	2.7s	20ms	86.9%	2.4 MB	3.9 MB	103.6 KB	901 B
4	69/a80213	3280650	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267907)	COMPLETED	0	2024-06-11 15:42:27.137	3.2s	7ms	141.5%	0	0	103.6 KB	902 B
3	07/4a5887	3280483	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267906)	COMPLETED	0	2024-06-11 15:42:27.065	3.5s	8ms	117.5%	0	0	103.6 KB	902 B
5	17/896efb	3280741	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267908)	COMPLETED	0	2024-06-11 15:42:27.221	3.8s	7ms	125.3%	0	0	103.6 KB	902 B
6	75/b921da	3280773	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267909)	COMPLETED	0	2024-06-11 15:42:27.233	4.3s	7ms	69.8%	0	0	103.6 KB	901 B
7	5d/65291d	3280908	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267910)	COMPLETED	0	2024-06-11 15:42:27.327	6.2s	8ms	126.1%	0	0	103.6 KB	902 B
9	25/1a7baa	3281224	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267912)	COMPLETED	0	2024-06-11 15:42:27.526	6.1s	9ms	152.2%	0	0	103.6 KB	902 B
8	0b/aa5294	3281111	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267911)	COMPLETED	0	2024-06-11 15:42:27.429	6.5s	8ms	118.2%	0	0	103.6 KB	902 B
11	8a/ef1a53	3281579	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267914)	COMPLETED	0	2024-06-11 15:42:27.700	7s	9ms	159.2%	0	0	103.6 KB	902 B
10	cd/7b4ddf	3281453	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267913)	COMPLETED	0	2024-06-11 15:42:27.610	7.9s	8ms	100.0%	0	0	103.6 KB	902 B
12	ee/19dd69	3281645	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267915)	COMPLETED	0	2024-06-11 15:42:27.762	8.2s	7ms	121.6%	0	0	103.6 KB	902 B
13	45/0682ce	3281764	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267916)	COMPLETED	0	2024-06-11 15:42:27.844	8.9s	8ms	106.1%	0	0	103.6 KB	902 B
14	b4/86ab69	3281891	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267917)	COMPLETED	0	2024-06-11 15:42:27.923	10s	11ms	172.4%	0	0	103.6 KB	902 B
15	4d/41257f	3282149	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267918)	COMPLETED	0	2024-06-11 15:42:28.079	10.3s	7ms	130.0%	0	0	103.6 KB	902 B
16	b8/5acc73	3282323	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267919)	COMPLETED	0	2024-06-11 15:42:28.196	11.4s	11ms	159.2%	0	0	103.6 KB	902 B
17	66/8baa00	3282455	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267920)	COMPLETED	0	2024-06-11 15:42:28.393	12s	8ms	120.2%	0	0	103.6 KB	902 B
18	8d/e35d4e	3282542	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267921)	COMPLETED	0	2024-06-11 15:42:28.479	12.5s	12ms	102.0%	0	0	103.6 KB	902 B
19	ab/abcfe9	3282901	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267922)	COMPLETED	0	2024-06-11 15:42:28.616	16.2s	8ms	115.6%	0	0	103.6 KB	902 B
20	9f/e6280a	3283112	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267923)	COMPLETED	0	2024-06-11 15:42:28.749	16.1s	10ms	111.8%	0	0	103.6 KB	902 B
24	39/2cb94d	3283791	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267927)	COMPLETED	0	2024-06-11 15:42:29.187	18.4s	9ms	101.5%	0	0	103.6 KB	902 B
21	5b/c19860	3283369	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267924)	COMPLETED	0	2024-06-11 15:42:28.823	18.9s	7ms	129.2%	0	0	103.6 KB	902 B
22	c3/a07a25	3283599	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267925)	COMPLETED	0	2024-06-11 15:42:28.971	19.2s	10ms	118.9%	0	0	103.6 KB	902 B
23	76/e5fe0f	3283717	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267926)	COMPLETED	0	2024-06-11 15:42:29.082	19.2s	7ms	60.5%	0	0	103.6 KB	901 B
25	e5/92df6d	3283923	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267928)	COMPLETED	0	2024-06-11 15:42:29.275	19.1s	8ms	119.5%	0	0	103.6 KB	902 B
26	70/c4806f	3284034	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267929)	COMPLETED	0	2024-06-11 15:42:29.351	19.1s	11ms	106.7%	0	0	103.6 KB	902 B
27	94/b9b17e	3284090	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267930)	COMPLETED	0	2024-06-11 15:42:29.419	19.1s	8ms	130.8%	0	0	103.6 KB	902 B
28	a8/13f677	3284146	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267931)	COMPLETED	0	2024-06-11 15:42:29.466	19.2s	9ms	127.6%	0	0	103.6 KB	902 B
29	a6/8b810e	3284157	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267932)	COMPLETED	0	2024-06-11 15:42:29.476	19.4s	8ms	70.7%	0	0	103.6 KB	901 B
30	c9/035272	3284260	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267933)	COMPLETED	0	2024-06-11 15:42:29.640	20.1s	11ms	116.9%	0	0	103.6 KB	902 B
31	0c/0a5719	3284262	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267934)	COMPLETED	0	2024-06-11 15:42:29.643	20.8s	8ms	111.2%	0	0	103.6 KB	902 B
35	56/c32cf0	3284574	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267936)	COMPLETED	0	2024-06-11 15:42:29.849	20.9s	9ms	110.1%	0	0	103.6 KB	902 B
32	5e/aeb3f1	3284448	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267935)	COMPLETED	0	2024-06-11 15:42:29.720	21.1s	13ms	92.3%	2.4 MB	3.9 MB	103.6 KB	901 B
36	57/cf14d8	3284682	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267937)	COMPLETED	0	2024-06-11 15:42:29.918	22.3s	10ms	118.9%	0	0	103.6 KB	902 B
37	fa/22e61c	3284922	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267938)	COMPLETED	0	2024-06-11 15:42:29.992	23.3s	9ms	53.1%	0	0	103.6 KB	901 B
38	6e/166945	3284960	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267939)	COMPLETED	0	2024-06-11 15:42:30.090	23.8s	9ms	174.3%	0	0	103.6 KB	902 B
