task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	58/302efa	2357491	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267905)	COMPLETED	0	2024-06-11 13:29:02.508	3.9s	7ms	132.5%	0	0	103.6 KB	902 B
3	ee/057966	2357497	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267906)	COMPLETED	0	2024-06-11 13:29:02.515	3.9s	7ms	136.8%	0	0	103.6 KB	902 B
4	38/02cd2f	2357508	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267907)	COMPLETED	0	2024-06-11 13:29:02.520	3.9s	8ms	66.2%	0	0	103.6 KB	901 B
5	e4/6ce2f4	2357572	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267908)	COMPLETED	0	2024-06-11 13:29:02.542	3.9s	8ms	111.2%	0	0	103.6 KB	902 B
6	37/d27e1b	2357588	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267909)	COMPLETED	0	2024-06-11 13:29:02.547	3.9s	8ms	128.4%	0	0	103.6 KB	902 B
7	6f/536261	2357738	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267910)	COMPLETED	0	2024-06-11 13:29:02.600	3.9s	7ms	131.6%	0	0	103.6 KB	902 B
8	46/93e0a8	2357986	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267911)	COMPLETED	0	2024-06-11 13:29:02.651	3.9s	9ms	118.2%	0	0	103.6 KB	902 B
9	8c/d700f6	2358163	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267912)	COMPLETED	0	2024-06-11 13:29:02.732	3.8s	8ms	130.0%	0	0	103.6 KB	902 B
10	c5/268fe5	2358297	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267913)	COMPLETED	0	2024-06-11 13:29:02.800	4.4s	12ms	128.4%	0	0	103.6 KB	902 B
12	35/5e6dfa	2358525	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267915)	COMPLETED	0	2024-06-11 13:29:02.945	5.7s	7ms	131.6%	0	0	103.6 KB	902 B
11	2f/02e486	2358455	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267914)	COMPLETED	0	2024-06-11 13:29:02.879	5.8s	11ms	160.8%	0	0	103.6 KB	902 B
14	3e/2af8ef	2358759	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267917)	COMPLETED	0	2024-06-11 13:29:03.083	6.5s	10ms	98.6%	0	0	103.6 KB	901 B
16	4d/4d1b7b	2359212	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267919)	COMPLETED	0	2024-06-11 13:29:03.231	6.9s	8ms	115.6%	0	0	103.6 KB	902 B
15	b2/a74416	2359119	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267918)	COMPLETED	0	2024-06-11 13:29:03.170	8.1s	9ms	104.5%	0	0	103.6 KB	902 B
13	91/ab1eac	2358651	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267916)	COMPLETED	0	2024-06-11 13:29:03.010	8.3s	9ms	152.9%	0	0	103.6 KB	902 B
17	aa/bbdd5a	2359303	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267920)	COMPLETED	0	2024-06-11 13:29:03.308	10.4s	8ms	109.5%	0	0	103.6 KB	902 B
18	a3/9ba0fc	2359440	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267921)	COMPLETED	0	2024-06-11 13:29:03.367	10.7s	9ms	109.5%	0	0	103.6 KB	902 B
19	3f/d5e411	2359662	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267922)	COMPLETED	0	2024-06-11 13:29:03.438	12.1s	8ms	123.8%	0	0	103.6 KB	902 B
20	e3/038742	2359783	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267923)	COMPLETED	0	2024-06-11 13:29:03.517	12.2s	8ms	120.9%	0	0	103.6 KB	902 B
