sample	DADA2_input	filtered	denoised	nonchim
ERS1213611	10700	10233	10154	10154
ERS1213612	20191	19748	19692	19666
ERS1213613	17130	16899	16887	16866
ERS1213614	31966	31148	31002	30370
ERS1213615	19387	18882	18758	18741
ERS1213616	28194	27635	27607	27503
ERS1213617	23285	22809	22734	22283
ERS1213618	25542	25129	25104	25104
ERS1213619	14020	13462	13439	13439
ERS1213620	22067	21325	21288	20932
ERS1213621	10932	10646	10540	10417
ERS1213622	20354	19755	19623	19563
ERS1213623	13263	12991	12984	12889
ERS1213624	25574	25117	25076	24795
ERS1213625	11126	10619	10542	10457
ERS1213626	20087	18979	18959	18942
ERS1213627	14176	13859	13745	13383
ERS1213628	10497	9078	9055	8925
ERS1213629	28446	27805	27707	27067
ERS1213630	9899	8436	8424	8400
ERS1213631	24032	23578	23520	23090
ERS1213632	15216	14466	14346	14169
ERS1213633	19452	18825	18727	18574
ERS1213634	24064	23399	23313	22773
ERS1213635	10742	10561	10549	10549
ERS1213636	9435	9194	9150	9136
ERS1213637	15731	15455	15444	15444
ERS1213638	20381	20007	19999	19953
ERS1213639	7747	7487	7423	7423
ERS1213640	30146	29432	29218	28703
ERS1213641	14041	13848	13831	13831
ERS1213642	12750	12489	12325	12234
ERS1213643	19747	19456	19440	19433
ERS1213644	11956	11761	11665	11553
ERS1213645	11511	11348	11325	11325
ERS1213646	8537	8403	8345	8194
ERS1213647	22613	22102	21977	21600
ERS1213648	12211	11933	11922	11784
ERS1213649	12271	11974	11882	11768
ERS1213650	10815	10554	10531	10531
ERS1213651	6637	6481	6381	6358
ERS1213652	16288	15673	15641	14957
ERS1213653	10190	9969	9884	9823
ERS1213654	37104	36289	36096	35549
ERS1213655	28317	27696	27667	27330
ERS1213656	8654	8457	8363	8290
ERS1213657	11774	11575	11567	11477
ERS1213658	9098	8926	8792	8731
ERS1213659	10332	10168	10127	9885
ERS1213660	16118	13674	13649	13627
ERS1213661	22192	21760	21643	21001
ERS1213662	20861	20358	20203	19992
ERS1213663	14488	12438	12417	12417
ERS1213664	17717	17345	17212	16925
ERS1213665	13213	11221	11210	11197
ERS1213666	20076	19743	19683	19293
ERS1213667	19647	18786	18730	18575
ERS1213668	25653	25010	24864	24668
ERS1213669	20723	20139	20065	19903
ERS1213670	27285	26762	26702	26418
ERS1213671	23423	22913	22766	22304
ERS1213672	27116	26648	26621	26478
ERS1213673	14657	14396	14286	14079
ERS1213674	16719	16285	16236	16182
ERS1213675	11794	11565	11450	11350
ERS1213676	18997	18479	18306	18284
ERS1213677	12113	11778	11754	11612
ERS1213678	19085	18457	18350	18211
ERS1213679	15005	14585	14562	14303
ERS1213680	15065	14785	14674	14452
ERS1213681	13337	12971	12933	12892
ERS1213682	13917	13627	13527	13363
ERS1213683	17831	17568	17559	17559
ERS1213684	16400	15869	15766	15569
ERS1213685	7416	7304	7294	7294
ERS1213686	10803	10510	10325	10292
ERS1213687	16424	15905	15712	15679
ERS1213688	13832	13471	13440	13268
ERS1213689	17751	17504	17488	17488
ERS1213690	16098	15437	15406	15303
ERS1213691	29580	28785	28623	28237
ERS1213692	15068	14670	14574	14430
ERS1213693	19646	19338	19327	19327
ERS1213694	13443	13255	13249	13249
ERS1213695	41407	40316	40096	38854
ERS1213696	17240	14590	14557	14557
ERS1213697	63535	61826	61659	58977
ERS1213698	15890	15435	15330	15205
ERS1213699	21360	20243	20199	19175
ERS1213700	44538	43101	42994	42537
ERS1213701	19892	18830	18794	18371
ERS1213702	54764	53249	52982	52276
ERS1213703	17165	16514	16478	16432
ERS1213704	33083	32176	31971	31772
ERS1213705	26760	25799	25736	24900
ERS1213706	22364	21946	21889	21854
ERS1213707	13973	13591	13483	13318
ERS1213708	20586	20131	20039	19801
ERS1213709	36418	35576	35452	34432
ERS1213710	19360	19057	19016	19016
ERS1213711	16360	15893	15802	15687
ERS1213712	22059	21583	21536	21185
ERS1213713	23501	22886	22801	21943
ERS1213714	23466	23101	23085	23063
ERS1213715	25423	24766	24710	24238
ERS1213716	18684	18383	18370	18370
ERS1213717	19378	18791	18710	18443
ERS1213718	20950	20344	20309	20259
ERS1213719	14355	14014	13851	13630
ERS1213720	21647	21145	21129	20923
ERS1213721	13686	13346	13228	13122
ERS1213722	17433	17078	17067	17028
ERS1213723	18765	18373	18215	18038
ERS1213724	17281	16825	16696	16665
ERS1213725	20528	20206	20186	20129
ERS1213726	14662	14382	14238	13950
ERS1213727	16418	16004	15972	15955
ERS1213728	14332	13858	13732	13363
ERS1213729	9104	8990	8929	8927
ERS1213730	11604	11320	11230	11219
ERS1213731	18060	17725	17700	15882
ERS1213732	15896	15506	15431	15137
ERS1213733	34167	33352	33185	32632
ERS1213734	18717	18365	18342	18259
ERS1213735	11792	11477	11407	11394
ERS1213736	14428	14141	14128	13911
ERS1213737	14622	14132	14037	13765
ERS1213738	14639	14340	14325	14325
ERS1213739	12064	11740	11627	11351
ERS1213740	25651	25098	24932	24782
ERS1213741	17890	17581	17559	17559
ERS1213742	23619	23073	22935	22352
ERS1213743	23568	22919	22769	22731
ERS1213744	19788	19471	19451	19443
ERS1213745	29261	28576	28381	27703
ERS1213746	16905	16553	16391	16309
ERS1213747	17991	17675	17596	17563
ERS1213748	16891	16205	16175	16161
ERS1213749	13147	12925	12834	12511
ERS1213750	17339	16916	16800	16560
ERS1213751	32970	32529	32516	32516
ERS1213752	15731	15287	15206	15139
ERS1213753	33680	33046	33023	33023
ERS1213754	14851	14500	14337	14337
ERS1213755	19414	19116	19091	19091
ERS1213756	12007	11707	11645	11302
ERS1213757	10366	9316	9291	8915
ERS1213758	13141	12782	12687	12650
ERS1213759	14068	12322	12311	12023
ERS1213760	13291	12892	12821	12783
ERS1213761	27566	25450	25391	24964
ERS1213762	14385	14022	13903	13406
ERS1213763	10940	10633	10550	10543
ERS1213764	10561	10384	10369	10369
ERS1213765	46447	45036	44849	42729
ERS1213766	24241	23814	23791	23767
ERS1213767	25835	25298	25261	25152
ERS1213768	32989	32096	31908	31466
ERS1213769	16799	16591	16577	16577
ERS1213770	32986	32193	32096	30955
ERS1213771	22236	21867	21798	21109
ERS1213772	31993	31273	31250	31022
ERS1213773	16646	16285	16195	15807
ERS1213774	29720	28811	28688	27716
ERS1213775	19164	18850	18824	18824
ERS1213776	15372	15048	14991	14730
ERS1213777	13894	13656	13647	13598
ERS1213778	26243	25557	25446	24870
ERS1213779	13999	13706	13674	13674
ERS1213780	23082	22566	22370	22084
ERS1213781	32608	31938	31759	31637
ERS1213782	21260	20720	20609	20146
ERS1213783	31237	30464	30266	29427
ERS1213784	15503	15155	15100	14609
ERS1213785	19969	19535	19455	19030
ERS1213786	12611	12390	12368	12331
ERS1213787	20587	20094	19938	19621
ERS1213788	9930	9698	9533	9533
ERS1213789	13893	13706	13680	13680
ERS1213790	16535	16046	16002	16002
ERS1213791	13796	13577	13563	13563
ERS1213792	46245	45162	45005	43779
ERS1213793	20998	20395	20295	19889
ERS1213794	24499	23998	23957	23957
ERS1213795	16467	16116	16094	16094
ERS1213796	66631	64530	64338	62875
ERS1213797	12875	12680	12667	12667
ERS1213798	25277	24510	24410	24020
ERS1213799	22129	21591	21338	21261
ERS1213800	13493	13006	12969	12620
ERS1213801	10963	10617	10607	10343
ERS1213802	12432	12019	11999	11735
ERS1213803	31049	30159	30088	29602
ERS1213804	67567	66219	65845	63087
ERS1213805	20803	20265	20054	19941
ERS1213806	37579	36628	36322	35978
ERS1213807	20136	18064	18045	17766
ERS1213808	9825	8609	8574	8420
ERS1213809	27837	26922	26781	26480
ERS1213810	9975	9817	9804	9804
ERS1213811	22752	22224	22110	21786
ERS1213812	8223	8064	8057	8052
ERS1213813	7574	7459	7441	7438
ERS1213814	10141	10008	9985	9955
ERS1215588	15877	15795	15743	15743
ERS1215589	27759	27562	27470	26647
ERS1215590	21870	21708	21637	21618
ERS1215591	29547	29333	29289	29205
ERS1215592	29685	29500	29418	29240
ERS1215593	24711	24555	24531	24531
ERS1215594	25888	25691	25625	25560
ERS1215595	18166	17977	17935	17935
ERS1215596	20156	20048	19904	18589
ERS1215597	27304	27097	27062	27055
ERS1215598	27376	27153	27143	27127
ERS1215599	27008	26866	26782	25049
ERS1215600	14329	14251	14219	14219
ERS1215601	25752	25577	25436	23859
ERS1215602	26143	25987	25919	25586
ERS1215603	23941	23737	23706	23695
ERS1215604	33365	33162	32979	31308
ERS1215605	22557	22379	22355	22324
ERS1215606	7678	7611	7590	7450
ERS1215607	25481	25288	25175	23789
ERS1215608	29588	29356	29314	28629
ERS1215609	21246	21099	21071	21071
ERS1215610	27091	26940	26868	26642
ERS1215611	23418	23215	23156	23053
ERS1215612	26761	26562	26549	26549
ERS1215613	17673	17579	17541	16833
ERS1215614	21143	20992	20877	19571
ERS1215615	27968	27750	27558	27243
ERS1215616	28435	28199	28148	28071
ERS1215617	20313	20148	20024	18795
ERS1215618	23418	23274	23248	23148
ERS1215619	26316	26139	26082	25750
ERS1215620	24676	24470	24413	23993
ERS1215621	17752	17642	17549	16751
ERS1215622	30432	30236	30082	28820
ERS1215623	20636	20518	20501	20501
ERS1215624	16110	16005	15914	15695
ERS1215625	28567	28356	28291	26042
ERS1215626	25501	25331	25240	23257
ERS1215627	19155	18902	18875	18844
ERS1215628	23425	23247	23239	23148
ERS1215629	18736	18597	18577	18513
ERS1215630	25242	25052	24914	23693
ERS1215631	24377	24210	24110	23064
ERS1215632	18114	17992	17969	17949
ERS1215633	10116	10036	10028	10028
ERS1215634	25721	25516	25405	24623
ERS1215635	25577	25375	25256	24011
ERS1215636	21878	21734	21723	21723
ERS1215637	6540	6483	6481	6430
ERS1215638	27035	26851	26763	26718
ERS1215639	24474	24296	24287	24282
ERS1215640	25089	24948	24753	23360
ERS1215641	28581	28400	28308	27440
ERS1215642	15788	15655	15642	15642
ERS1215643	23964	23791	23752	23752
ERS1215644	26935	26694	26683	26647
ERS1215645	45768	45421	45386	43381
ERS1215646	22907	22761	22653	21328
ERS1215647	37360	37048	36890	36331
ERS1215648	19432	19299	19159	18567
ERS1215649	23148	23024	22952	22531
ERS1215650	18186	18022	17963	17963
ERS1215651	18660	18511	18443	18431
ERS1215652	21463	21306	21294	21294
ERS1215653	24279	24109	24006	22819
ERS1215654	23853	23719	23615	23421
ERS1215655	27734	27582	27501	27181
ERS1215656	15867	15743	15707	15700
ERS1215657	25128	24931	24867	23367
ERS1215658	19172	19041	18972	18670
ERS1215659	17129	16991	16976	16976
ERS1215660	18982	18847	18774	18758
ERS1215661	25669	25522	25385	24100
ERS1215662	11853	11752	11742	11742
ERS1215663	26149	25938	25919	25919
ERS1215664	24702	24472	24441	24441
ERS1215665	25376	25128	25117	25061
ERS1215666	18030	17896	17838	17838
ERS1215667	22155	22045	21907	20638
ERS1215668	20783	20634	20623	20615
ERS1215669	24596	24464	24419	24419
ERS1215670	22938	22779	22635	22496
ERS1215671	26465	26315	26243	25008
ERS1215672	13902	13823	13812	13812
ERS1215673	20531	20364	20348	20260
ERS1215674	24975	24833	24781	24220
ERS1215675	25779	25628	25513	23731
ERS1215676	25339	25139	25132	25132
ERS1215677	21251	21113	21089	21067
ERS1215678	22438	22249	22127	21973
ERS1215679	23629	23451	23355	22447
ERS1215680	7778	7721	7686	7686
ERS1215681	18493	18391	18381	18342
ERS1215682	18651	18535	18511	18503
ERS1215683	24503	24302	24289	23735
ERS1215684	26250	26117	26083	25066
ERS1215685	18398	18263	18253	18244
ERS1215686	22418	22249	22209	22110
ERS1215687	17912	17783	17761	17682
ERS1215688	20996	20836	20818	20818
ERS1215689	24291	24076	24006	24006
ERS1215690	20196	20038	20017	20017
ERS1215691	37166	36879	36717	36150
ERS1215692	15653	15490	15465	15465
ERS1215693	37929	37642	37527	36696
ERS1215694	30123	29905	29841	29764
ERS1215695	27880	27692	27639	27535
ERS1215696	34024	33751	33738	33734
ERS1215697	28712	28500	28448	27346
ERS1215698	16731	16588	16578	16578
ERS1215699	10405	10310	10297	10297
ERS1215700	15617	15493	15489	15489
ERS1215701	26258	26117	26076	26017
ERS1215702	16171	16026	16003	16003
ERS1215703	29054	28838	28802	27071
ERS1215704	23671	23477	23462	23390
ERS1215705	17058	16882	16864	16864
ERS1215706	12221	12151	12138	12138
ERS1215707	20391	20244	20239	20196
ERS1215708	29943	29769	29695	28626
ERS1215709	26407	26275	26212	26045
ERS1215710	19686	19542	19503	19470
ERS1215711	20071	19949	19910	19839
ERS1215712	16253	16139	16110	16110
ERS1215713	22356	22201	22127	21381
ERS1215714	14507	14403	14366	14366
ERS1215715	13446	13353	13338	13338
ERS1215716	23070	22887	22879	22879
ERS1215717	23580	23416	23332	23291
ERS1215718	17676	17555	17529	17476
ERS1215719	25072	24919	24743	22547
ERS1215720	16026	15877	15831	15831
ERS1215721	26455	26262	26238	26225
ERS1215722	28070	27846	27740	26065
ERS1215723	21695	21574	21521	21462
ERS1215724	25944	25683	25655	25546
ERS1215725	27326	27111	27080	27057
ERS1215726	31217	31074	30981	30081
ERS1215727	23184	23005	22939	22711
ERS1215728	26007	25807	25747	25637
ERS1215729	22811	22624	22603	22581
ERS1215730	19506	19360	19326	19309
ERS1215731	31516	31276	31135	30312
ERS1215732	20601	20483	20459	20426
ERS1215733	24518	24354	24284	23820
ERS1215734	25464	25289	25228	25206
ERS1215735	29422	29258	29200	28895
ERS1215736	28257	27979	27927	27730
ERS1215737	17169	17001	16984	16949
ERS1215738	33654	33400	33302	31541
ERS1215739	30580	30420	30375	30166
ERS1215740	20846	20702	20695	20660
ERS1215741	23465	23335	23321	23260
ERS1215742	26255	26123	26058	23891
ERS1215743	22218	22057	22015	21936
ERS1215744	16636	16502	16487	16487
ERS1215745	18838	18662	18651	18570
ERS1215746	27918	27692	27621	26453
ERS1215747	30178	29967	29920	29242
ERS1215748	22976	22794	22767	22761
ERS1215749	27460	27262	27246	27203
ERS1215750	18364	18220	18219	17822
ERS1215751	22996	22830	22821	22648
ERS1215752	24345	24109	24095	23770
ERS1215753	22398	22275	22253	22253
ERS1215754	24442	24245	24221	24202
ERS1215755	7914	7842	7837	7837
ERS1215756	21053	20863	20835	20826
ERS1215757	25657	25466	25450	25450
ERS1215758	27116	26881	26857	26852
ERS1215759	28800	28581	28558	28470
ERS1215760	17444	17337	17333	17333
ERS1215761	26477	26298	26279	26279
ERS1215762	21262	21052	20865	20751
ERS1215763	14416	14042	13936	13936
ERS1215764	24039	23865	23841	23723
ERS1215765	26251	26039	26025	26013
ERS1215766	20138	19978	19952	19952
ERS1215767	20855	20690	20660	20604
ERS1215768	19498	19343	19317	19232
ERS1215769	24034	23841	23826	23826
ERS1215770	22081	21935	21890	21484
ERS1215771	22365	22198	22165	22165
ERS1215772	21039	20899	20814	19984
ERS1215773	12146	12065	12046	12046
ERS1215774	22945	22788	22772	22737
