task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3	76/57b253	2358411	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212513)	COMPLETED	0	2024-06-11 13:29:02.863	4.3s	8ms	57.8%	0	0	103.6 KB	901 B
2	dc/048724	2358401	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212512)	COMPLETED	0	2024-06-11 13:29:02.855	5.7s	12ms	130.0%	2.4 MB	3.9 MB	103.6 KB	902 B
4	37/9d7b7d	2358603	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212514)	COMPLETED	0	2024-06-11 13:29:02.994	5.7s	9ms	131.6%	0	0	103.6 KB	902 B
8	f7/e9990b	2359188	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212518)	COMPLETED	0	2024-06-11 13:29:03.211	6.3s	10ms	105.1%	0	0	103.6 KB	902 B
7	cd/a5fe59	2359112	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212517)	COMPLETED	0	2024-06-11 13:29:03.166	8s	8ms	128.4%	0	0	103.6 KB	902 B
5	2d/a89b91	2358712	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212515)	COMPLETED	0	2024-06-11 13:29:03.064	8.2s	8ms	133.3%	0	0	103.6 KB	902 B
9	79/2896c6	2359268	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212519)	COMPLETED	0	2024-06-11 13:29:03.278	8s	10ms	104.5%	0	0	103.6 KB	902 B
12	39/63d38a	2359471	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212522)	COMPLETED	0	2024-06-11 13:29:03.376	10.6s	9ms	125.3%	0	0	103.6 KB	902 B
13	40/6237a6	2359629	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212523)	COMPLETED	0	2024-06-11 13:29:03.411	10.6s	15ms	69.3%	2.4 MB	3.9 MB	103.6 KB	901 B
6	49/d2b3e8	2359016	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212516)	COMPLETED	0	2024-06-11 13:29:03.130	11s	8ms	129.2%	0	0	103.6 KB	902 B
