task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3	e3/73a9f8	799724	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212513)	COMPLETED	0	2024-06-11 09:01:15.896	2.7s	13ms	101.0%	0	0	103.3 KB	901 B
2	9d/15c7e0	799767	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212512)	COMPLETED	0	2024-06-11 09:01:15.905	2.9s	16ms	125.3%	0	0	103.3 KB	898 B
4	ae/807e40	799955	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212514)	COMPLETED	0	2024-06-11 09:01:15.960	2.9s	14ms	108.7%	0	0	103.3 KB	898 B
5	c2/c77c49	800031	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212515)	COMPLETED	0	2024-06-11 09:01:16.028	2.8s	14ms	73.8%	0	0	103.3 KB	900 B
6	8a/d72c55	800153	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212516)	COMPLETED	0	2024-06-11 09:01:16.100	3.3s	7ms	136.8%	0	0	103.3 KB	898 B
7	d2/96b28a	800339	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212517)	COMPLETED	0	2024-06-11 09:01:16.146	5.2s	8ms	115.6%	0	0	103.3 KB	898 B
9	a3/9bc665	800743	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212519)	COMPLETED	0	2024-06-11 09:01:16.312	7.6s	12ms	152.9%	0	0	103.3 KB	898 B
8	6d/3b879c	800573	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212518)	COMPLETED	0	2024-06-11 09:01:16.226	7.8s	8ms	128.4%	0	0	103.3 KB	898 B
10	3f/9594d8	800962	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212520)	COMPLETED	0	2024-06-11 09:01:16.367	7.7s	8ms	152.9%	0	0	103.3 KB	898 B
11	53/cd7776	801014	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212521)	COMPLETED	0	2024-06-11 09:01:16.397	9s	10ms	100.0%	2.4 MB	3.9 MB	103.3 KB	898 B
13	80/dbfb8e	801174	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212523)	COMPLETED	0	2024-06-11 09:01:16.495	9.1s	7ms	161.2%	0	0	103.3 KB	898 B
12	7d/36fad4	801109	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212522)	COMPLETED	0	2024-06-11 09:01:16.455	10.8s	10ms	92.0%	0	0	103.3 KB	897 B
14	56/a9a667	801255	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212524)	COMPLETED	0	2024-06-11 09:01:16.549	10.7s	10ms	92.9%	0	0	103.3 KB	897 B
15	b4/012758	801339	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212525)	COMPLETED	0	2024-06-11 09:01:16.603	11.3s	10ms	120.2%	0	0	103.3 KB	898 B
16	85/b00657	801418	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212526)	COMPLETED	0	2024-06-11 09:01:16.660	11.7s	8ms	126.1%	0	0	103.3 KB	898 B
17	56/85720c	801472	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212527)	COMPLETED	0	2024-06-11 09:01:16.696	12s	9ms	176.3%	0	0	103.3 KB	898 B
18	81/80f5ce	801556	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212528)	COMPLETED	0	2024-06-11 09:01:16.733	13.4s	9ms	125.3%	0	0	103.3 KB	898 B
20	83/82c93e	801732	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212530)	COMPLETED	0	2024-06-11 09:01:16.810	14.9s	12ms	125.8%	0	0	103.3 KB	898 B
19	02/487e9d	801662	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212529)	COMPLETED	0	2024-06-11 09:01:16.766	15s	12ms	147.2%	0	0	103.3 KB	898 B
21	19/e063bc	801885	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212531)	COMPLETED	0	2024-06-11 09:01:16.904	15.3s	8ms	126.8%	0	0	103.3 KB	898 B
25	a6/2343cb	802755	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212535)	COMPLETED	0	2024-06-11 09:01:17.125	15.1s	9ms	160.8%	0	0	103.3 KB	898 B
29	d0/0d221c	803013	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212539)	COMPLETED	0	2024-06-11 09:01:17.233	15.3s	10ms	153.7%	2.4 MB	3.9 MB	103.3 KB	898 B
24	53/771987	802611	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212534)	COMPLETED	0	2024-06-11 09:01:17.079	16.3s	11ms	98.6%	0	0	103.3 KB	900 B
23	3c/f8e4d4	802280	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212533)	COMPLETED	0	2024-06-11 09:01:17.003	17.5s	11ms	135.1%	0	0	103.3 KB	898 B
22	c5/fb6461	802187	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212532)	COMPLETED	0	2024-06-11 09:01:16.979	17.6s	10ms	95.4%	0	0	103.3 KB	897 B
27	30/21512a	802914	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212537)	COMPLETED	0	2024-06-11 09:01:17.198	18.2s	12ms	81.9%	0	0	103.3 KB	900 B
28	9f/a7fb88	802966	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212538)	COMPLETED	0	2024-06-11 09:01:17.216	18.6s	6ms	66.2%	0	0	103.3 KB	897 B
30	93/108114	803103	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212540)	COMPLETED	0	2024-06-11 09:01:17.299	18.5s	9ms	64.6%	0	0	103.3 KB	897 B
26	4b/2e3e92	802857	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212536)	COMPLETED	0	2024-06-11 09:01:17.167	18.8s	8ms	128.4%	0	0	103.3 KB	898 B
32	0b/4a8251	803312	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212542)	COMPLETED	0	2024-06-11 09:01:17.444	20.4s	7ms	132.5%	0	0	103.3 KB	898 B
31	57/a7708a	803209	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212541)	COMPLETED	0	2024-06-11 09:01:17.381	21.2s	7ms	123.8%	0	0	103.3 KB	898 B
33	20/afc20e	803375	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212543)	COMPLETED	0	2024-06-11 09:01:17.480	21.3s	9ms	102.5%	0	0	103.3 KB	898 B
34	1d/11bc99	803430	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212544)	COMPLETED	0	2024-06-11 09:01:17.505	24s	12ms	128.9%	0	0	103.3 KB	901 B
36	14/1a7427	803547	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212546)	COMPLETED	0	2024-06-11 09:01:17.549	24.5s	9ms	178.3%	0	0	103.3 KB	898 B
35	25/c9d296	803469	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212545)	COMPLETED	0	2024-06-11 09:01:17.521	24.9s	10ms	112.4%	0	0	103.3 KB	898 B
38	82/554be7	803898	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212548)	COMPLETED	0	2024-06-11 09:01:17.731	26s	12ms	148.6%	0	0	103.3 KB	898 B
37	a7/e3d4af	803783	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212547)	COMPLETED	0	2024-06-11 09:01:17.662	26.2s	11ms	84.9%	0	0	103.3 KB	897 B
39	67/f86907	803942	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212549)	COMPLETED	0	2024-06-11 09:01:17.791	26.6s	11ms	142.5%	0	0	103.3 KB	898 B
40	c2/d9d21f	804028	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212550)	COMPLETED	0	2024-06-11 09:01:17.845	27s	9ms	113.7%	0	0	103.3 KB	898 B
41	79/8c5aea	804067	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212551)	COMPLETED	0	2024-06-11 09:01:17.863	28.1s	13ms	125.8%	0	0	103.3 KB	898 B
42	44/f9a1c6	804189	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212552)	COMPLETED	0	2024-06-11 09:01:17.919	28.5s	10ms	96.7%	0	0	103.3 KB	897 B
43	7a/a75bef	804255	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212553)	COMPLETED	0	2024-06-11 09:01:17.961	29.1s	7ms	161.2%	0	0	103.3 KB	898 B
44	0c/134c09	804331	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212554)	COMPLETED	0	2024-06-11 09:01:18.005	29.2s	10ms	165.1%	0	0	103.3 KB	898 B
45	6e/a018de	804353	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212555)	COMPLETED	0	2024-06-11 09:01:18.022	30.8s	14ms	120.5%	2.4 MB	3.9 MB	103.3 KB	898 B
46	aa/e966a7	804480	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212556)	COMPLETED	0	2024-06-11 09:01:18.050	31.1s	9ms	139.3%	0	0	103.3 KB	898 B
47	d7/072f7f	804768	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212557)	COMPLETED	0	2024-06-11 09:01:18.091	31.1s	9ms	96.3%	0	0	103.3 KB	897 B
49	b4/394c43	804972	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212559)	COMPLETED	0	2024-06-11 09:01:18.176	31.5s	10ms	124.8%	0	0	103.3 KB	898 B
50	4d/65febb	805010	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212560)	COMPLETED	0	2024-06-11 09:01:18.214	32.2s	9ms	169.6%	0	0	103.3 KB	898 B
48	40/28a14e	804903	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212558)	COMPLETED	0	2024-06-11 09:01:18.134	32.6s	8ms	129.2%	0	0	103.3 KB	898 B
51	4d/6ce953	805130	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212561)	COMPLETED	0	2024-06-11 09:01:18.276	33.8s	10ms	114.3%	0	0	103.3 KB	898 B
53	2f/c4867c	805309	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212563)	COMPLETED	0	2024-06-11 09:01:18.377	35.1s	8ms	142.5%	0	0	103.3 KB	898 B
52	7c/8450bd	805257	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212562)	COMPLETED	0	2024-06-11 09:01:18.343	35.4s	10ms	104.0%	0	0	103.3 KB	898 B
54	73/ba97ce	805508	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212564)	COMPLETED	0	2024-06-11 09:01:18.648	35.8s	9ms	150.7%	0	0	103.3 KB	898 B
57	b0/495f1c	805794	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212567)	COMPLETED	0	2024-06-11 09:01:18.833	44.2s	9ms	126.3%	0	0	103.3 KB	898 B
55	0b/b3dbf9	805783	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212565)	COMPLETED	0	2024-06-11 09:01:18.827	44.4s	11ms	147.9%	0	0	103.3 KB	898 B
56	e8/dea3cd	805786	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212566)	COMPLETED	0	2024-06-11 09:01:18.830	44.4s	9ms	166.0%	0	0	103.3 KB	898 B
58	b9/bb853c	806381	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212568)	COMPLETED	0	2024-06-11 09:01:19.425	45.7s	8ms	117.5%	0	0	103.3 KB	898 B
61	15/6d71ce	807962	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212569)	COMPLETED	0	2024-06-11 09:01:21.328	46.6s	9ms	118.2%	0	0	103.3 KB	898 B
69	35/69a474	810079	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212571)	COMPLETED	0	2024-06-11 09:01:24.048	48.3s	7ms	81.2%	0	0	103.3 KB	897 B
70	34/20f13e	810092	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212572)	COMPLETED	0	2024-06-11 09:01:24.056	49s	7ms	81.9%	0	0	103.3 KB	897 B
71	8e/73d96b	811237	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212573)	COMPLETED	0	2024-06-11 09:01:25.413	47.7s	1s	2.9%	3.2 MB	6.4 MB	103.3 KB	896 B
62	46/e961d8	810044	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212570)	COMPLETED	0	2024-06-11 09:01:23.940	49.2s	9ms	114.3%	0	0	103.3 KB	898 B
72	0e/a9741b	811382	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212574)	COMPLETED	0	2024-06-11 09:01:25.564	50.5s	9ms	178.3%	0	0	103.3 KB	898 B
73	41/e7eac0	812536	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212575)	COMPLETED	0	2024-06-11 09:01:27.300	52.1s	9ms	123.8%	0	0	103.3 KB	898 B
77	9d/32cb75	813497	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212579)	COMPLETED	0	2024-06-11 09:01:28.661	52.4s	650ms	3.1%	3.2 MB	6.4 MB	103.3 KB	896 B
78	c2/576e9b	815106	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212580)	COMPLETED	0	2024-06-11 09:01:30.176	50.9s	8ms	172.4%	0	0	103.3 KB	898 B
81	1d/194ae1	815908	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212581)	COMPLETED	0	2024-06-11 09:01:31.687	49.4s	272ms	10.7%	3.2 MB	6.4 MB	103.3 KB	897 B
74	b5/905974	812538	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212576)	COMPLETED	0	2024-06-11 09:01:27.303	53.8s	7ms	140.5%	0	0	103.3 KB	898 B
75	b9/cdf0f0	812981	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212577)	COMPLETED	0	2024-06-11 09:01:27.862	53.3s	8ms	118.9%	0	0	103.3 KB	898 B
76	27/b884f3	813306	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212578)	COMPLETED	0	2024-06-11 09:01:28.326	52.8s	8ms	129.2%	0	0	103.3 KB	898 B
82	b8/ad45de	816137	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212582)	COMPLETED	0	2024-06-11 09:01:31.751	52.2s	12ms	141.5%	0	0	103.3 KB	898 B
83	41/4e1e28	816378	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212583)	COMPLETED	0	2024-06-11 09:01:32.253	51.7s	30ms	54.9%	3.2 MB	6.4 MB	103.3 KB	897 B
84	28/9be08e	816380	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212584)	COMPLETED	0	2024-06-11 09:01:32.256	52.1s	10ms	117.5%	0	0	103.3 KB	898 B
86	14/01f2d8	817718	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212586)	COMPLETED	0	2024-06-11 09:01:33.354	53.2s	8ms	124.6%	0	0	103.3 KB	898 B
87	a8/87aff5	818697	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212587)	COMPLETED	0	2024-06-11 09:01:34.496	52s	219ms	17.8%	3.2 MB	6.4 MB	103.3 KB	897 B
88	4b/eb0753	818734	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212588)	COMPLETED	0	2024-06-11 09:01:34.627	53.7s	224ms	13.1%	3.2 MB	6.4 MB	103.3 KB	897 B
89	8c/d730a0	819581	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212589)	COMPLETED	0	2024-06-11 09:01:35.425	52.9s	11ms	138.1%	0	0	103.3 KB	898 B
90	28/632e70	819870	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212590)	COMPLETED	0	2024-06-11 09:01:35.842	52.5s	7ms	139.6%	0	0	103.3 KB	898 B
91	66/33dbc2	819879	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212591)	COMPLETED	0	2024-06-11 09:01:35.845	52.5s	137ms	13.6%	3.2 MB	6.4 MB	103.3 KB	900 B
92	e4/4c809a	819988	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212592)	COMPLETED	0	2024-06-11 09:01:35.932	52.4s	7ms	65.8%	0	0	103.3 KB	897 B
85	e0/17f257	817002	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212585)	COMPLETED	0	2024-06-11 09:01:32.582	55.9s	7ms	64.2%	0	0	103.3 KB	897 B
94	a4/420d71	822431	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212594)	COMPLETED	0	2024-06-11 09:01:38.570	52s	131ms	14.2%	3.2 MB	6.4 MB	103.3 KB	897 B
93	94/fc1156	821808	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212593)	COMPLETED	0	2024-06-11 09:01:37.821	52.8s	154ms	12.1%	3.2 MB	6.4 MB	103.3 KB	897 B
98	51/658ae5	825149	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212598)	COMPLETED	0	2024-06-11 09:01:42.416	52s	182ms	15.7%	3.2 MB	6.4 MB	103.3 KB	897 B
95	6e/2cf3fb	822568	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212595)	COMPLETED	0	2024-06-11 09:01:38.746	57.9s	215ms	13.2%	3.2 MB	6.4 MB	103.3 KB	897 B
96	a0/48d300	824346	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212596)	COMPLETED	0	2024-06-11 09:01:41.522	55.2s	196ms	9.8%	3.2 MB	6.4 MB	103.3 KB	896 B
97	94/c1f244	824644	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212597)	COMPLETED	0	2024-06-11 09:01:42.027	54.6s	180ms	15.7%	3.2 MB	6.4 MB	103.3 KB	897 B
99	8d/6c841e	826066	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212599)	COMPLETED	0	2024-06-11 09:01:43.760	54.2s	10ms	108.9%	0	0	103.3 KB	898 B
100	b9/cbd06c	826137	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212600)	COMPLETED	0	2024-06-11 09:01:43.862	54.1s	10ms	101.5%	0	0	103.3 KB	898 B
103	2f/953df4	827745	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212603)	COMPLETED	0	2024-06-11 09:01:45.936	53.1s	129ms	20.5%	3.2 MB	6.4 MB	103.3 KB	897 B
102	4e/681ddf	826824	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212602)	COMPLETED	0	2024-06-11 09:01:44.879	55.6s	134ms	13.1%	3.2 MB	6.4 MB	103.3 KB	897 B
105	01/5f1178	828632	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212605)	COMPLETED	0	2024-06-11 09:01:47.015	54.2s	11ms	86.7%	0	0	103.3 KB	897 B
111	1d/2e01b4	831559	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212611)	COMPLETED	0	2024-06-11 09:01:50.397	54.3s	391ms	7.8%	3.2 MB	6.4 MB	103.3 KB	896 B
114	cf/c1e0cc	831724	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212612)	COMPLETED	0	2024-06-11 09:01:50.766	53.9s	10ms	159.2%	0	0	103.3 KB	898 B
101	da/029e32	826560	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212601)	COMPLETED	0	2024-06-11 09:01:44.374	1m	505ms	5.7%	3.2 MB	6.4 MB	103.3 KB	896 B
104	cb/5d4e3d	828072	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212604)	COMPLETED	0	2024-06-11 09:01:46.389	58.4s	10ms	127.9%	0	0	103.3 KB	898 B
106	a5/1b977e	828777	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212606)	COMPLETED	0	2024-06-11 09:01:47.206	57.6s	341ms	8.7%	3.2 MB	6.4 MB	103.3 KB	896 B
107	9a/800b6f	830001	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212607)	COMPLETED	0	2024-06-11 09:01:48.781	56s	8ms	116.2%	0	0	103.3 KB	898 B
108	a2/193d40	830407	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212608)	COMPLETED	0	2024-06-11 09:01:49.170	55.6s	525ms	5.8%	3.2 MB	6.4 MB	103.3 KB	896 B
109	6e/6a9748	830409	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212609)	COMPLETED	0	2024-06-11 09:01:49.172	55.6s	815ms	3.7%	3.2 MB	6.4 MB	103.3 KB	896 B
110	09/a31f8a	830829	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212610)	COMPLETED	0	2024-06-11 09:01:49.659	55.1s	432ms	7.0%	3.2 MB	6.4 MB	103.3 KB	896 B
115	4c/5acd2a	832725	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212613)	COMPLETED	0	2024-06-11 09:01:52.110	56.9s	128ms	14.5%	3.2 MB	6.4 MB	103.3 KB	897 B
116	3e/7406af	833818	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212614)	COMPLETED	0	2024-06-11 09:01:53.523	58s	8ms	106.7%	0	0	103.3 KB	898 B
117	f4/9210f0	833941	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212615)	COMPLETED	0	2024-06-11 09:01:53.765	57.8s	9ms	118.9%	0	0	103.3 KB	898 B
