task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	cc/5e0492	129180	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212512)	COMPLETED	0	2024-06-11 11:10:04.595	3.6s	6ms	131.6%	0	0	103.4 KB	902 B
3	ed/9e6b27	129188	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212513)	COMPLETED	0	2024-06-11 11:10:04.602	3.7s	7ms	70.7%	0	0	103.4 KB	901 B
4	64/6a72f8	129523	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212514)	COMPLETED	0	2024-06-11 11:10:04.704	3.7s	7ms	151.8%	0	0	103.4 KB	902 B
5	d8/892b06	129761	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212515)	COMPLETED	0	2024-06-11 11:10:04.767	4.8s	7ms	140.5%	0	0	103.4 KB	902 B
6	87/c9688e	129911	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212516)	COMPLETED	0	2024-06-11 11:10:04.845	5s	8ms	136.8%	0	0	103.4 KB	902 B
8	04/eb3f52	130030	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212518)	COMPLETED	0	2024-06-11 11:10:04.934	5.3s	8ms	133.3%	0	0	103.4 KB	902 B
7	f2/b8decd	129977	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212517)	COMPLETED	0	2024-06-11 11:10:04.893	5.8s	24ms	33.7%	2.4 MB	3.9 MB	103.4 KB	901 B
10	56/e00632	130126	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212520)	COMPLETED	0	2024-06-11 11:10:05.025	5.8s	200ms	9.9%	3.2 MB	6.4 MB	103.4 KB	900 B
11	31/96b71e	130157	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212521)	COMPLETED	0	2024-06-11 11:10:05.054	5.7s	201ms	9.9%	3.2 MB	6.4 MB	103.4 KB	900 B
12	dd/e8fd67	130206	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212522)	COMPLETED	0	2024-06-11 11:10:05.092	5.7s	8ms	65.4%	0	0	103.4 KB	901 B
13	13/3ef5f8	130278	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212523)	COMPLETED	0	2024-06-11 11:10:05.137	5.7s	9ms	165.1%	0	0	103.4 KB	902 B
14	83/cda8ff	130485	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212524)	COMPLETED	0	2024-06-11 11:10:05.179	5.6s	11ms	100.5%	0	0	103.4 KB	902 B
9	7f/315350	130070	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212519)	COMPLETED	0	2024-06-11 11:10:04.984	5.9s	23ms	67.1%	2.4 MB	3.9 MB	103.4 KB	901 B
17	e4/97a880	130824	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212527)	COMPLETED	0	2024-06-11 11:10:05.354	6.1s	8ms	60.5%	0	0	103.4 KB	901 B
18	2f/80cd98	130874	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212528)	COMPLETED	0	2024-06-11 11:10:05.396	6.3s	8ms	130.0%	0	0	103.4 KB	902 B
19	34/a1660f	130904	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212529)	COMPLETED	0	2024-06-11 11:10:05.422	7s	7ms	137.7%	0	0	103.4 KB	902 B
16	e3/00ad1e	130787	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212526)	COMPLETED	0	2024-06-11 11:10:05.317	7.2s	11ms	141.2%	0	0	103.4 KB	902 B
20	d9/6cfa04	130950	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212530)	COMPLETED	0	2024-06-11 11:10:05.460	7.1s	9ms	158.4%	0	0	103.4 KB	902 B
15	a1/d966d7	130607	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212525)	COMPLETED	0	2024-06-11 11:10:05.245	7.4s	9ms	121.6%	0	0	103.4 KB	902 B
22	87/6fc4c9	131028	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212532)	COMPLETED	0	2024-06-11 11:10:05.581	8.4s	10ms	91.2%	0	0	103.4 KB	901 B
23	da/f13952	131048	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212533)	COMPLETED	0	2024-06-11 11:10:05.596	9.1s	8ms	102.5%	0	0	103.4 KB	902 B
24	8b/acc2d6	131110	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212534)	COMPLETED	0	2024-06-11 11:10:05.646	9.1s	8ms	123.1%	0	0	103.4 KB	902 B
21	df/ffe9ef	130990	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212531)	COMPLETED	0	2024-06-11 11:10:05.539	9.2s	11ms	103.0%	0	0	103.4 KB	902 B
25	30/39778e	131174	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212535)	COMPLETED	0	2024-06-11 11:10:05.692	9.1s	11ms	134.5%	0	0	103.4 KB	902 B
28	f9/5baf98	131417	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212538)	COMPLETED	0	2024-06-11 11:10:05.794	9s	13ms	160.0%	0	0	103.4 KB	902 B
26	69/4ff31a	131321	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212536)	COMPLETED	0	2024-06-11 11:10:05.740	9.5s	10ms	100.5%	0	0	103.4 KB	902 B
29	31/f60d62	131509	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212539)	COMPLETED	0	2024-06-11 11:10:05.814	10.2s	16ms	101.0%	2.4 MB	3.9 MB	103.4 KB	902 B
27	8b/18bc58	131372	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1212537)	COMPLETED	0	2024-06-11 11:10:05.772	11.6s	7ms	130.0%	0	0	103.4 KB	902 B
