Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
SRR8571581_1	2.543800539083558	1.179245283018868	0.9097035040431267	0.7412398921832885	0.4211590296495957	0.5053908355795148	0.4716981132075472	0.13477088948787064	0.0	2.7628032345013476	0.0	6.216307277628032	12.533692722371967	71.58018867924528	0.0	0.0
SRR8571581_2	10.849056603773585	1.7520215633423182	1.36455525606469	0.9433962264150944	0.5053908355795148	1.0107816711590296	0.1179245283018868	0.40431266846361186	0.45485175202156336	2.560646900269542	1.1287061994609164	5.0033692722371965	11.320754716981133	62.584231805929925	0.0	0.0
SRR8571582_1	1.2590957403319436	0.5968440847028044	0.5396124601422614	0.3270378546316736	0.38835745237511243	0.19622271277900416	0.2289264982421715	0.359741640094841	0.33112582781456956	2.771645818003434	0.5232605674106777	1.1896001962227127	6.454909655792658	9.692584416646227	25.496688741721858	49.64434633308806
SRR8571582_2	4.72978497261058	0.915705992968686	0.7358351729212657	0.6050200310685961	0.4701169160330308	0.3924454255580083	0.515084621044886	0.3270378546316736	0.257542310522443	4.341427520235467	1.2509197939661516	1.4961981849399069	5.73133840242008	8.96901316327365	23.67754067533317	45.58498896247241
SRR8571583_1	4.27027027027027	1.4414414414414414	1.027027027027027	0.21621621621621623	0.45045045045045046	0.21621621621621623	0.0	0.14414414414414414	0.16216216216216214	5.297297297297297	2.540540540540541	4.054054054054054	10.73873873873874	69.44144144144144	0.0	0.0
SRR8571583_2	17.045045045045047	2.846846846846847	0.6486486486486486	1.4414414414414414	0.7207207207207207	0.8648648648648649	0.12612612612612611	0.14414414414414414	0.3243243243243243	6.6126126126126135	3.297297297297298	21.8018018018018	21.92792792792793	22.1981981981982	0.0	0.0
SRR8571584_1	1.7618706441737773	1.1137888360580994	0.7522959682146811	0.5471243405197681	0.5210708004950173	0.31264248029701036	0.4559369504331401	0.20842832019800692	0.08793069758353417	3.30879958314336	1.2180029961571028	2.2145509021038237	2.940793330293754	32.80140689116134	51.75535725916759	0.0
SRR8571584_2	10.082719989578584	1.9214485768253762	1.328730541262294	1.05516837100241	0.7490392757115872	0.6448251156125838	0.36474956034651207	0.36474956034651207	0.2637920927506025	4.686380511952062	2.0484595844460367	4.337914414121018	14.221976161010877	57.93004624503354	0.0	0.0
SRR8571585_1	5.450500556173527	1.6367392340696012	1.3109804544732242	0.6674082313681869	0.5561735261401557	0.42904814873669156	0.27808676307007785	0.5085015096138567	0.5720641983155887	8.430001589067219	0.5561735261401557	8.255204195137454	6.237088828857461	13.332273955188304	51.7797552836485	0.0
SRR8571585_2	17.956459558239313	2.5742888924201495	1.5016685205784204	1.3983791514381056	1.0328936914031464	0.8580962974733831	0.6117908787541714	0.5085015096138567	0.5720641983155887	7.7308120133481655	4.902272366121087	8.064516129032258	0.0	10.765930398855872	41.522326394406484	0.0
SRR8571586_1	2.426360712205253	0.6483803155788568	0.3115264797507788	0.23301167591115163	0.22794620469569182	0.22794620469569182	0.2836663880657498	0.1418331940328749	0.2963300661043994	4.1435554542461315	0.5090798571537117	2.2971911962110276	1.9426082111288403	2.8797203859889065	0.0	83.43084365423094
SRR8571586_2	6.531925132335435	0.9016538763518477	0.55466909809285	0.3444520426512676	0.39257401919813595	0.36471392751310694	0.31912468657396853	0.3039282729275891	0.22794620469569182	4.7108882303776305	1.5449687207152445	3.1026011194691385	3.095002912645949	2.623914089608186	0.0	74.98163766684397
SRR8571587_1	1.2919250218894627	0.5789539517180995	0.4020513553597913	0.350231402891196	0.38418240623268946	0.2787556063827886	0.3001983453353108	0.2716080267319479	0.25731286743026643	3.044868931258153	1.0417597341100369	3.1610171005843144	8.391258510087022	16.787877704912173	0.0	63.45799903507675
SRR8571587_2	8.587816950485141	1.897682397298215	1.216875435555635	0.8648571377517289	0.7147579650840734	0.5575112127655772	0.43778925361399496	0.457445097653807	0.4020513553597913	4.976502331897861	2.1192573664742778	7.033218376427282	5.716276825759877	51.0962600289477	13.92169826492504	0.0
SRR8571588_1	1.8826449211132776	1.1416415529161497	0.6346392483602198	0.5530934231519233	0.42545647934763337	0.39709271405779123	0.26472847603852745	0.34981977190805413	0.22336465165750755	4.4365656207528215	2.1331915145068843	14.431247414760975	6.6016663712107775	21.782189919045088	0.0	44.742657921172366
