SRS6989869	ftp.sra.ebi.ac.uk/vol1/fastq/SRR122/021/SRR12203221/SRR12203221.fastq.gz
SRS6989868	ftp.sra.ebi.ac.uk/vol1/fastq/SRR122/022/SRR12203222/SRR12203222.fastq.gz
SRS6989867	ftp.sra.ebi.ac.uk/vol1/fastq/SRR122/023/SRR12203223/SRR12203223.fastq.gz
SRS6989866	ftp.sra.ebi.ac.uk/vol1/fastq/SRR122/024/SRR12203224/SRR12203224.fastq.gz
SRS6989865	ftp.sra.ebi.ac.uk/vol1/fastq/SRR122/025/SRR12203225/SRR12203225.fastq.gz
SRS6989864	ftp.sra.ebi.ac.uk/vol1/fastq/SRR122/026/SRR12203226/SRR12203226.fastq.gz
SRS6989863	ftp.sra.ebi.ac.uk/vol1/fastq/SRR122/027/SRR12203227/SRR12203227.fastq.gz
SRS6989862	ftp.sra.ebi.ac.uk/vol1/fastq/SRR122/028/SRR12203228/SRR12203228.fastq.gz
SRS6989861	ftp.sra.ebi.ac.uk/vol1/fastq/SRR122/029/SRR12203229/SRR12203229.fastq.gz
SRS6989860	ftp.sra.ebi.ac.uk/vol1/fastq/SRR122/030/SRR12203230/SRR12203230.fastq.gz
SRS6989859	ftp.sra.ebi.ac.uk/vol1/fastq/SRR122/031/SRR12203231/SRR12203231.fastq.gz
SRS6989858	ftp.sra.ebi.ac.uk/vol1/fastq/SRR122/032/SRR12203232/SRR12203232.fastq.gz
SRS6989857	ftp.sra.ebi.ac.uk/vol1/fastq/SRR122/033/SRR12203233/SRR12203233.fastq.gz
SRS6989856	ftp.sra.ebi.ac.uk/vol1/fastq/SRR122/034/SRR12203234/SRR12203234.fastq.gz
SRS6989855	ftp.sra.ebi.ac.uk/vol1/fastq/SRR122/035/SRR12203235/SRR12203235.fastq.gz
SRS6989854	ftp.sra.ebi.ac.uk/vol1/fastq/SRR122/036/SRR12203236/SRR12203236.fastq.gz
SRS6989853	ftp.sra.ebi.ac.uk/vol1/fastq/SRR122/037/SRR12203237/SRR12203237.fastq.gz
SRS6989852	ftp.sra.ebi.ac.uk/vol1/fastq/SRR122/038/SRR12203238/SRR12203238.fastq.gz
SRS6989851	ftp.sra.ebi.ac.uk/vol1/fastq/SRR122/039/SRR12203239/SRR12203239.fastq.gz
SRS6989850	ftp.sra.ebi.ac.uk/vol1/fastq/SRR122/040/SRR12203240/SRR12203240.fastq.gz
SRS6989849	ftp.sra.ebi.ac.uk/vol1/fastq/SRR122/041/SRR12203241/SRR12203241.fastq.gz
SRS6989848	ftp.sra.ebi.ac.uk/vol1/fastq/SRR122/042/SRR12203242/SRR12203242.fastq.gz
SRS6989847	ftp.sra.ebi.ac.uk/vol1/fastq/SRR122/043/SRR12203243/SRR12203243.fastq.gz
SRS6989846	ftp.sra.ebi.ac.uk/vol1/fastq/SRR122/044/SRR12203244/SRR12203244.fastq.gz
SRS6989845	ftp.sra.ebi.ac.uk/vol1/fastq/SRR122/045/SRR12203245/SRR12203245.fastq.gz
